LSOA_Code,LSOA_Name,Borough,Mean_AI,Median_AI,Min_AI,Max_AI,PTAL_2023,PTAL_Score
E01000001,City of London 001A,City of London,74.81806017830169,76.15040360552386,43.34468592310935,97.66404972828455,6b,8
E01000002,City of London 001B,Islington,85.32489842736241,88.8999534869209,44.80267393616006,102.1277242621298,6b,8
E01000003,City of London 001C,Islington,53.4113829483948,54.11454133117997,36.9958704542882,66.9894792109165,6b,8
E01000005,City of London 001E,Tower Hamlets,82.42891172711114,86.64998457587866,45.50488677808978,104.15409574107883,6b,8
E01000006,Barking and Dagenham 016A,Barking & Dagenham,24.153971080768297,27.931273068282813,2.836977462390278,33.40090331042069,5,6
E01000007,Barking and Dagenham 015A,Barking & Dagenham,32.603954237848924,31.860012002761223,23.001195777917324,49.24812509810868,6a,7
E01000008,Barking and Dagenham 015B,Newham,8.391131601399604,6.024137573264315,0.0,26.471128211997343,2,3
E01000009,Barking and Dagenham 016B,Barking & Dagenham,37.753209235215536,36.86124911708909,32.58277864669397,42.63926898991633,6a,7
E01000011,Barking and Dagenham 016C,Barking & Dagenham,31.701426240148614,31.68102356304376,27.722053977529526,36.299088522083515,6a,7
E01000012,Barking and Dagenham 015D,Barking & Dagenham,18.288953901559083,21.551302364015697,2.254283238283068,32.11253927291698,4,5
E01000013,Barking and Dagenham 013A,Barking & Dagenham,13.59295171152074,13.133768888807976,1.985218686985702,21.359150454872875,3,4
E01000014,Barking and Dagenham 013B,Barking & Dagenham,8.088113653206602,7.183959707525059,2.276307563855096,16.85451714340575,2,3
E01000015,Barking and Dagenham 009A,Barking & Dagenham,8.895151845471048,9.001648071045675,2.156484516690699,14.95994869620189,2,3
E01000016,Barking and Dagenham 009B,Barking & Dagenham,6.978437867432125,5.929248392573827,2.739288926597727,15.222230443529696,2,3
E01000017,Barking and Dagenham 009C,Barking & Dagenham,8.91669836592075,8.33268183421318,5.331629919957239,14.37756828391494,2,3
E01000018,Barking and Dagenham 009D,Barking & Dagenham,8.411974954221128,8.238808436049888,3.602766676448856,15.05395122367829,2,3
E01000019,Barking and Dagenham 023A,Redbridge,4.75087869572087,5.368678998840018,2.530744557180827,7.142540108039254,1b,2
E01000020,Barking and Dagenham 023B,Barking & Dagenham,7.045604483015399,7.010643368740293,4.014543957531831,11.127029765524666,2,3
E01000021,Barking and Dagenham 008A,Barking & Dagenham,6.001601250165671,6.487802666295284,1.917594494273668,10.486214033569976,2,3
E01000022,Barking and Dagenham 008B,Barking & Dagenham,7.850317297161726,8.00807556103544,6.870913601127021,8.595162079656392,2,3
E01000024,Barking and Dagenham 008D,Barking & Dagenham,9.293122261825284,9.44384664227132,6.713805911123405,11.566710538861347,2,3
E01000025,Barking and Dagenham 008E,Barking & Dagenham,7.220084341025144,7.147177152476875,5.690973118466576,8.922120456643405,2,3
E01000027,Barking and Dagenham 001A,Havering,3.475730285927377,4.033008593949421,0.0,6.529667130277945,1b,2
E01000028,Barking and Dagenham 001B,Redbridge,4.116088955752749,4.161088116272783,2.877796648514338,5.005696233949032,1b,2
E01000029,Barking and Dagenham 001C,Redbridge,3.946656803801171,4.360315020777126,0.0,6.189541346432995,1b,2
E01000030,Barking and Dagenham 001D,Barking & Dagenham,5.529473205482672,5.582778481644774,3.887422051827322,7.138544598557065,2,3
E01000031,Barking and Dagenham 002A,Havering,3.843432928185837,4.179333763082147,0.0,7.841111454391048,1b,2
E01000032,Barking and Dagenham 002B,Barking & Dagenham,6.988161049747967,6.18312580940755,0.0,14.592873850227182,2,3
E01000033,Barking and Dagenham 006A,Barking & Dagenham,4.25629230132262,4.422323209831903,2.798631607796497,6.16436795352804,1b,2
E01000034,Barking and Dagenham 003A,Barking & Dagenham,3.653552908768663,3.35967313527616,2.301591175110856,8.535276157886644,1b,2
E01000035,Barking and Dagenham 010A,Barking & Dagenham,7.04256382113783,7.675015490762007,2.414207266266152,12.9275045966771,2,3
E01000036,Barking and Dagenham 010B,Barking & Dagenham,7.571241139403595,9.040423534070072,0.0,14.320383911726983,2,3
E01000037,Barking and Dagenham 003B,Havering,6.198010015382306,5.944852556621377,2.359368477847038,12.663370359288171,2,3
E01000038,Barking and Dagenham 003C,Barking & Dagenham,9.452988075016052,9.69693455621977,2.813806445324187,12.344759158852964,2,3
E01000039,Barking and Dagenham 003D,Havering,1.973662986548859,2.366798574720594,0.0,8.721279832185537,1a,1
